,state,regional_division,population,article_title,revision_id,article_quality
0,Alabama,South,"5,074,296","Abbeville, Alabama",1171163550,C
1,Alabama,South,"5,074,296","Adamsville, Alabama",1177621427,C
2,Alabama,South,"5,074,296","Addison, Alabama",1168359898,C
3,Alabama,South,"5,074,296","Akron, Alabama",1165909508,GA
4,Alabama,South,"5,074,296","Alabaster, Alabama",1179139816,C
5,Alabama,South,"5,074,296","Albertville, Alabama",1179198677,C
6,Alabama,South,"5,074,296","Alexander City, Alabama",1179140073,GA
7,Alabama,South,"5,074,296","Aliceville, Alabama",1167792390,GA
8,Alabama,South,"5,074,296","Allgood, Alabama",1165909718,C
9,Alabama,South,"5,074,296","Altoona, Alabama",1165909823,C
10,Alabama,South,"5,074,296","Andalusia, Alabama",1179141586,C
11,Alabama,South,"5,074,296","Anderson, Lauderdale County, Alabama",662691565,Stub
12,Alabama,South,"5,074,296","Anniston, Alabama",1176049382,C
13,Alabama,South,"5,074,296","Arab, Alabama",1171375371,C
14,Alabama,South,"5,074,296","Ardmore, Alabama",1176903479,GA
15,Alabama,South,"5,074,296","Argo, Alabama",1177623964,C
16,Alabama,South,"5,074,296","Ariton, Alabama",1166014478,C
17,Alabama,South,"5,074,296","Arley, Alabama",1166014498,C
18,Alabama,South,"5,074,296","Ashford, Alabama",1166014593,C
19,Alabama,South,"5,074,296","Ashland, Alabama",1174331705,C
20,Alabama,South,"5,074,296","Ashville, Alabama",1148844011,C
21,Alabama,South,"5,074,296","Athens, Alabama",1175308807,C
22,Alabama,South,"5,074,296","Atmore, Alabama",1167926420,C
23,Alabama,South,"5,074,296","Attalla, Alabama",1165507856,C
24,Alabama,South,"5,074,296","Auburn, Alabama",1179546364,C
25,Alabama,South,"5,074,296","Autaugaville, Alabama",1166014815,C
26,Alabama,South,"5,074,296","Avon, Alabama",1166014861,Start
27,Alabama,South,"5,074,296","Babbie, Alabama",1168820544,Start
28,Alabama,South,"5,074,296","Baileyton, Alabama",1166014939,C
29,Alabama,South,"5,074,296","Bakerhill, Alabama",1166014954,Start
30,Alabama,South,"5,074,296","Banks, Alabama",1166014997,C
31,Alabama,South,"5,074,296","Bay Minette, Alabama",1177963600,C
32,Alabama,South,"5,074,296","Bayou La Batre, Alabama",1177999052,C
33,Alabama,South,"5,074,296","Bear Creek, Alabama",1166015184,GA
34,Alabama,South,"5,074,296","Beatrice, Alabama",1166015214,C
35,Alabama,South,"5,074,296","Beaverton, Alabama",1166015251,Start
36,Alabama,South,"5,074,296","Belk, Alabama",1166015313,C
37,Alabama,South,"5,074,296","Benton, Alabama",1166015434,C
38,Alabama,South,"5,074,296","Berlin, Alabama",1166015476,Start
39,Alabama,South,"5,074,296","Berry, Alabama",1166015515,C
40,Alabama,South,"5,074,296","Bessemer, Alabama",1178999596,C
41,Alabama,South,"5,074,296","Billingsley, Alabama",1166015695,Start
42,Alabama,South,"5,074,296","Birmingham, Alabama",1179414429,B
43,Alabama,South,"5,074,296","Black, Alabama",1166015772,Start
44,Alabama,South,"5,074,296","Blountsville, Alabama",1105978061,GA
45,Alabama,South,"5,074,296","Blue Springs, Alabama",1166015902,Start
46,Alabama,South,"5,074,296","Boaz, Alabama",1177138566,GA
47,Alabama,South,"5,074,296","Boligee, Alabama",1166015957,C
48,Alabama,South,"5,074,296","Bon Air, Alabama",1166015981,C
49,Alabama,South,"5,074,296","Brantley, Alabama",1165814013,C
50,Alabama,South,"5,074,296","Brent, Alabama",1172245542,GA
51,Alabama,South,"5,074,296","Brewton, Alabama",1162427481,GA
52,Alabama,South,"5,074,296","Bridgeport, Alabama",1165537046,GA
53,Alabama,South,"5,074,296","Brighton, Alabama",1177621572,C
54,Alabama,South,"5,074,296","Brilliant, Alabama",1166016323,GA
55,Alabama,South,"5,074,296","Brookside, Alabama",1170769013,C
56,Alabama,South,"5,074,296","Brookwood, Alabama",1178216914,C
57,Alabama,South,"5,074,296","Brundidge, Alabama",1165537457,C
58,Alabama,South,"5,074,296","Butler, Alabama",1144752979,C
59,Alabama,South,"5,074,296","Calera, Alabama",1165537934,C
60,Alabama,South,"5,074,296","Camden, Alabama",1176316224,GA
61,Alabama,South,"5,074,296","Camp Hill, Alabama",1166017104,C
62,Alabama,South,"5,074,296","Carbon Hill, Alabama",1175376595,C
63,Alabama,South,"5,074,296","Cardiff, Alabama",1166017260,Start
64,Alabama,South,"5,074,296","Carolina, Alabama",1166017310,Start
65,Alabama,South,"5,074,296","Carrollton, Alabama",1096812581,C
66,Alabama,South,"5,074,296","Castleberry, Alabama",1166017442,Start
67,Alabama,South,"5,074,296","Cedar Bluff, Alabama",1177836881,C
68,Alabama,South,"5,074,296","Center Point, Alabama",1174837569,C
69,Alabama,South,"5,074,296","Centre, Alabama",1164314017,C
70,Alabama,South,"5,074,296","Centreville, Alabama",1172134285,C
71,Alabama,South,"5,074,296","Chatom, Alabama",1159488446,C
72,Alabama,South,"5,074,296","Chelsea, Alabama",1165539092,C
73,Alabama,South,"5,074,296","Cherokee, Alabama",1166017755,C
74,Alabama,South,"5,074,296","Chickasaw, Alabama",1165539195,C
75,Alabama,South,"5,074,296","Childersburg, Alabama",1165539227,GA
76,Alabama,South,"5,074,296","Citronelle, Alabama",1165539457,C
77,Alabama,South,"5,074,296","Clanton, Alabama",1158612343,GA
78,Alabama,South,"5,074,296","Clay, Alabama",1177621993,C
79,Alabama,South,"5,074,296","Clayhatchee, Alabama",1166018079,Start
80,Alabama,South,"5,074,296","Clayton, Alabama",1155236230,C
81,Alabama,South,"5,074,296","Cleveland, Alabama",1168466910,C
82,Alabama,South,"5,074,296","Clio, Alabama",1165644511,Start
83,Alabama,South,"5,074,296","Coaling, Alabama",1166018304,C
84,Alabama,South,"5,074,296","Coffee Springs, Alabama",1166018326,Start
85,Alabama,South,"5,074,296","Coffeeville, Alabama",1166029689,C
86,Alabama,South,"5,074,296","Coker, Alabama",1166018360,Start
87,Alabama,South,"5,074,296","Collinsville, Alabama",1177947751,C
88,Alabama,South,"5,074,296","Colony, Alabama",1166018463,GA
89,Alabama,South,"5,074,296","Columbia, Alabama",1166018475,C
90,Alabama,South,"5,074,296","Columbiana, Alabama",1151357569,C
91,Alabama,South,"5,074,296","Coosada, Alabama",1172561590,C
92,Alabama,South,"5,074,296","Cordova, Alabama",1165645181,GA
93,Alabama,South,"5,074,296","Cottonwood, Alabama",1096812941,C
94,Alabama,South,"5,074,296","County Line, Alabama",1166018950,Start
95,Alabama,South,"5,074,296","Courtland, Alabama",1157580326,GA
96,Alabama,South,"5,074,296","Cowarts, Alabama",1166019003,C
97,Alabama,South,"5,074,296","Creola, Alabama",1139764613,GA
98,Alabama,South,"5,074,296","Crossville, Alabama",1166066155,C
99,Alabama,South,"5,074,296","Cuba, Alabama",1175879685,C
100,Alabama,South,"5,074,296","Cullman, Alabama",1177009324,B
101,Alabama,South,"5,074,296","Cusseta, Alabama",1172824345,Start
102,Alabama,South,"5,074,296","Dadeville, Alabama",1158607851,C
103,Alabama,South,"5,074,296","Daleville, Alabama",1154496305,GA
104,Alabama,South,"5,074,296","Daphne, Alabama",1165646156,FA
105,Alabama,South,"5,074,296","Dauphin Island, Alabama",1174226588,B
106,Alabama,South,"5,074,296","Daviston, Alabama",1166066473,C
107,Alabama,South,"5,074,296","Dayton, Alabama",1166066487,C
108,Alabama,South,"5,074,296","Deatsville, Alabama",1166066515,C
109,Alabama,South,"5,074,296","Decatur, Alabama",1178063438,C
110,Alabama,South,"5,074,296","Demopolis, Alabama",1161394946,B
111,Alabama,South,"5,074,296","Detroit, Alabama",1166066756,Start
112,Alabama,South,"5,074,296","Dodge City, Alabama",1166066982,Start
113,Alabama,South,"5,074,296","Dora, Alabama",1165647022,C
114,Alabama,South,"5,074,296","Dothan, Alabama",1179231968,B
115,Alabama,South,"5,074,296","Double Springs, Alabama",1159024876,C
116,Alabama,South,"5,074,296","Douglas, Alabama",1166067023,GA
117,Alabama,South,"5,074,296","Dozier, Alabama",1096813187,Start
118,Alabama,South,"5,074,296","Dutton, Alabama",1166067175,C
119,Alabama,South,"5,074,296","East Brewton, Alabama",1165647609,C
120,Alabama,South,"5,074,296","Eclectic, Alabama",1145048302,C
121,Alabama,South,"5,074,296","Edwardsville, Alabama",1166067508,C
122,Alabama,South,"5,074,296","Elba, Alabama",1163400900,C
123,Alabama,South,"5,074,296","Elberta, Alabama",1175895043,C
124,Alabama,South,"5,074,296","Eldridge, Alabama",1178177223,Start
125,Alabama,South,"5,074,296","Elkmont, Alabama",1176555126,C
126,Alabama,South,"5,074,296","Elmore, Alabama",1166067658,C
127,Alabama,South,"5,074,296","Emelle, Alabama",1158753175,C
128,Alabama,South,"5,074,296","Enterprise, Alabama",1160273773,C
129,Alabama,South,"5,074,296","Epes, Alabama",1166067751,C
130,Alabama,South,"5,074,296","Ethelsville, Alabama",1166067848,Start
131,Alabama,South,"5,074,296","Eufaula, Alabama",1160493671,GA
132,Alabama,South,"5,074,296","Eutaw, Alabama",1158611853,C
133,Alabama,South,"5,074,296","Eva, Alabama",1166067877,GA
134,Alabama,South,"5,074,296","Evergreen, Conecuh County, Alabama",1158611789,C
135,Alabama,South,"5,074,296","Excel, Alabama",1166067942,C
136,Alabama,South,"5,074,296","Fairfield, Alabama",1177239572,C
137,Alabama,South,"5,074,296","Fairhope, Alabama",1173963070,C
138,Alabama,South,"5,074,296","Fairview, Alabama",1166068021,C
139,Alabama,South,"5,074,296","Falkville, Alabama",1166068054,GA
140,Alabama,South,"5,074,296","Faunsdale, Alabama",1167428050,GA
141,Alabama,South,"5,074,296","Fayette, Alabama",1142947111,C
142,Alabama,South,"5,074,296","Five Points, Alabama",1166068289,C
143,Alabama,South,"5,074,296","Flomaton, Alabama",1166244039,C
144,Alabama,South,"5,074,296","Florala, Alabama",1166068321,C
145,Alabama,South,"5,074,296","Florence, Alabama",1178304592,C
146,Alabama,South,"5,074,296","Foley, Alabama",1166414056,C
147,Alabama,South,"5,074,296","Forkland, Alabama",1166068466,C
148,Alabama,South,"5,074,296","Fort Deposit, Alabama",1177020476,C
149,Alabama,South,"5,074,296","Fort Payne, Alabama",1172551841,GA
150,Alabama,South,"5,074,296","Franklin, Alabama",1166068620,GA
151,Alabama,South,"5,074,296","Frisco City, Alabama",1166068863,C
152,Alabama,South,"5,074,296","Fruithurst, Alabama",1166068877,Start
153,Alabama,South,"5,074,296","Fulton, Alabama",1166068885,Start
154,Alabama,South,"5,074,296","Fultondale, Alabama",1165840932,C
155,Alabama,South,"5,074,296","Fyffe, Alabama",1160192215,C
