,state,regional_division,population,count_articles,art_per_pop
0,North Carolina,South,10698973,20,1.869338300040574e-06
1,Virginia,South,8683619,18,2.072868466476938e-06
2,Nevada,West,3177772,8,2.5174870947317806e-06
3,Arizona,West,7359197,24,3.261225375540293e-06
4,California,West,39029342,173,4.4325625576777595e-06
5,Florida,South,22244823,118,5.3046050310222746e-06
6,New York,Northeast,19677151,111,5.641060537676415e-06
7,Maryland,South,6164660,42,6.813027806886349e-06
8,Kansas,Midwest,2937150,22,7.490254157942223e-06
9,Oklahoma,South,4019800,31,7.711826459027812e-06
